Account,Campaign,Ad group,Keyword,Match type,Status
789-424-2096,Notdienst Verstopfung,Rohr verstopft,[rohr verstopft],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Rohr verstopft,[rohr verstopft hilfe],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Rohr verstopft,[rohrverstopfung],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Rohr verstopft,rohr verstopft,Phrase,Enabled
789-424-2096,Notdienst Verstopfung,Toilette verstopft,[toilette verstopft],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Toilette verstopft,[wc verstopft],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Toilette verstopft,[klo verstopft],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Toilette verstopft,toilette verstopft,Phrase,Enabled
789-424-2096,Notdienst Verstopfung,Abfluss verstopft,[abfluss verstopft],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Abfluss verstopft,[abfluss zu],Exact,Enabled
789-424-2096,Notdienst Verstopfung,Abfluss verstopft,abfluss verstopft,Phrase,Enabled
789-424-2096,Preisanfragen,Rohrreinigung Kosten,[rohrreinigung kosten],Exact,Enabled
789-424-2096,Preisanfragen,Rohrreinigung Kosten,[was kostet rohrreinigung],Exact,Enabled
789-424-2096,Preisanfragen,Rohrreinigung Kosten,[rohrreinigung preis],Exact,Enabled
789-424-2096,Preisanfragen,Rohrreinigung Kosten,rohrreinigung kosten,Phrase,Enabled
789-424-2096,Preisanfragen,Rohrreinigung Festpreis,[rohrreinigung festpreis],Exact,Enabled
789-424-2096,Preisanfragen,Rohrreinigung Festpreis,[rohrreinigung ohne versteckte kosten],Exact,Enabled
789-424-2096,Lokal Amberg,Rohrreinigung Amberg,[rohrreinigung amberg],Exact,Enabled
789-424-2096,Lokal Amberg,Rohrreinigung Amberg,[rohrreinigung amberg oberpfalz],Exact,Enabled
789-424-2096,Lokal Amberg,Rohrreinigung Amberg,rohrreinigung amberg,Phrase,Enabled
789-424-2096,Lokal Amberg,Notdienst Amberg,[rohrreinigung notdienst amberg],Exact,Enabled
789-424-2096,Lokal Amberg,Notdienst Amberg,[notdienst rohrreinigung amberg],Exact,Enabled
789-424-2096,B2B Hausverwaltung,Hausverwaltung,[rohrreinigung hausverwaltung],Exact,Enabled
789-424-2096,B2B Hausverwaltung,Hausverwaltung,[rohrreinigung für hausverwaltung],Exact,Enabled
789-424-2096,B2B Hausverwaltung,Hausverwaltung,rohrreinigung hausverwaltung,Phrase,Enabled
